word,rating,tag,neighbours
discerner,1.88,abstract,"['watcher', 'disc', 'blinder']"
overeager,1.73,abstract,"['overbite', 'undercooked', 'fat']"
wonderfulness,1.59,abstract,"['smile', 'grinning', 'grin']"
softie,1.96,abstract,"['softcover', 'stubbly', 'weenie']"
queerer,1.96,abstract,"['lesbian', 'whore', 'sextuplet']"
inconsecutiveness,1.88,abstract,"['incision', 'superintendant', 'inscription']"
formidableness,1.58,abstract,"['warrior', 'rise', 'stance']"
extraneousness,1.44,abstract,"['accessory', 'appendix', 'placemat']"
fatalism,1.65,abstract,"['dead', 'grave', 'dead end']"
terseness,1.92,abstract,"['teriyaki', 'entrails', 'tigress']"
sexist,1.83,abstract,"['sextuplet', 'sextant', 'sex']"
charitableness,1.96,abstract,"['fundraiser', 'salvation army', 'funds']"
insubordination,1.84,abstract,"['inseam', 'insole', 'side order']"
irregularity,1.86,abstract,"['rectangular', 'octagonal', 'roundness']"
unusualness,1.77,abstract,"['novel', 'redness', 'kaleidoscopic']"
affective,1.52,abstract,"['psychologist', 'tongue', 'caress']"
nonpermanent,1.97,abstract,"['perm', 'operator', 'unicyclist']"
antifundamentalist,1.73,abstract,"['protestor', 'politician', 'petitioner']"
noncontributing,1.69,abstract,"['taxpayer', 'paperwork', 'decoy']"
assumption,1.84,abstract,"['question mark', 'parentheses', 'quiz']"
succession,1.73,abstract,"['proprietor', 'steps', 'estate']"
applicatory,1.92,abstract,"['applicator', 'appendage', 'accessory']"
minimalism,1.89,abstract,"['structure', 'minidress', 'minilab']"
subtractive,2.0,abstract,"['subwoofer', 'subsoil', 'subbasement']"
grace,1.78,abstract,"['holly', 'chalice', 'nightingale']"
hurtfulness,1.86,abstract,"['wept', 'stinging', 'crying']"
advantage,2.0,abstract,"['prize', 'item', 'award']"
etcetera,1.6,abstract,"['etch', 'etching', 'escargot']"
constructiveness,1.83,abstract,"['cummerbund', 'structure', 'cum']"
federalization,1.74,abstract,"['federal agency', 'state department', 'statehouse']"
indeterminacy,1.39,abstract,"['inseam', 'dimple', 'incision']"
peacekeeping,2.0,abstract,"['troops', 'civilian', 'army']"
snobbery,1.74,abstract,"['snuff', 'snot', 'whiskered']"
begrudge,1.89,abstract,"['beggar', 'curtsy', 'groan']"
fantasticality,1.5,abstract,"['novel', 'kaleidoscopic', 'world']"
unhappiness,1.52,abstract,"['frown', 'crying', 'wept']"
humorlessness,1.57,abstract,"['laughter', 'laugher', 'laugh']"
shamelessness,1.48,abstract,"['naked', 'nude', 'nudity']"
oversight,1.57,abstract,"['watchdog', 'committee', 'inspector']"
quantum,1.9,abstract,"['physicist', 'quart', 'mathematician']"
impalpability,1.73,abstract,"['crack', 'material', 'barrier']"
disunion,1.92,abstract,"['separator', 'dividers', 'dike']"
nonaggression,1.9,abstract,"['tigress', 'barrier', 'separator']"
